"GEOID","MedYearBuiltOwn","MedYearBuiltRent","PctBuilt90AftOwn","PctBuilt90AftRent","PctCompKitchOwn","PctCompKitchRent","PctCompPlumbOwn","PctCompPlumbRent","PctThreeRoomOwn","PctThreeRoomRent","PctFourRoomOwn","PctFourRoomRent"
"53001950100",1941,1958,0.0869565217391304,0.0990712074303406,0.977559607293128,0.919504643962848,0.994389901823282,0.972136222910217,0.697054698457223,0.486068111455108,0.38148667601683,0.164086687306502
"53001950200",1957,1955,0.247191011235955,0.0309278350515464,0.986516853932584,1,0.984269662921348,0.994845360824742,0.768539325842697,0.72680412371134,0.256179775280899,0.293814432989691
"53001950300",1979,1984,0.350044762757386,0.378205128205128,1,1,1,1,0.846016114592659,0.705128205128205,0.260519247985676,0.158653846153846
"53001950400",1975,1968,0.30184331797235,0.2375,1,0.991071428571429,1,1,0.910138248847926,0.294642857142857,0.294930875576037,0.101785714285714
"53001950500",1977,1970,0.349420849420849,0.304232804232804,0.986486486486487,1,0.986486486486487,1,0.863899613899614,0.489417989417989,0.133204633204633,0.17989417989418
"53003960100",1984,1987,0.418844566712517,0.485849056603774,1,1,0.99312242090784,1,0.823933975240715,0.561320754716981,0.384456671251719,0.165094339622642
"53003960200",1978,1979,0.266666666666667,0.33160621761658,1,1,1,1,0.667231638418079,0.637305699481865,0.345762711864407,0.147668393782383
"53003960300",1953,1958,0.0933333333333333,0.191836734693878,0.992727272727273,1,1,1,0.543030303030303,0.236734693877551,0.210909090909091,0.103401360544218
"53003960400",1963,1975,0.280373831775701,0.185074626865672,1,1,1,1,0.627725856697819,0.373134328358209,0.174454828660436,0.0447761194029851
"53003960500",1952,1968,0.0854139290407359,0.234349919743178,1,0.972712680577849,1,1,0.647831800262812,0.245585874799358,0.385019710906702,0.086677367576244
"53003960600",1979,1983,0.381835032437442,0.288135593220339,1,1,1,1,0.750695088044486,0.230024213075061,0.291010194624652,0.0242130750605327
"53005010100",1966,1965,0.0379332897318509,0.0656934306569343,1,1,1,1,0.967298888162198,0.576642335766423,0.606932635709614,0.281021897810219
"53005010201",1980,1971,0.477715003138732,0.324675324675325,0.987445072190835,1,0.995605775266792,1,0.901443816698054,0.438961038961039,0.375392341494036,0.0571428571428571
"53005010202",1973,1974,0.196877710320902,0.198706643151088,1,0.960023515579071,1,1,0.725065047701648,0.133450911228689,0.329575021682567,0.0670194003527337
"53005010300",1950,1991,0.0491009681881051,0.519767441860465,1,0.980232558139535,1,0.980232558139535,0.841632088520055,0.493023255813954,0.195712309820194,0.0732558139534884
